grid_id,acronym
grid.12641.30,UU
grid.12711.34,UNIURB
grid.12799.34,UFV
grid.12810.3a,UVHC
grid.12832.3a,UVSQ
grid.12847.38,UW
grid.12916.3d,UWI
grid.12955.3a,XMU
grid.13001.33,UZ
grid.13063.37,LSE
grid.13097.3c,KCL
grid.13276.31,SGGW
grid.13291.38,SCU
grid.13349.3c,CNES
grid.13388.31,WZB
grid.13394.3c,XMU
grid.13402.34,ZJU
grid.13414.33,ZEW
grid.13428.3c,ZSW 
grid.13464.34,IFP
grid.13508.3f,GEUS
grid.13515.33,JM
grid.13570.30,ADEME
grid.13622.34,EA
grid.13648.38,UKE
grid.13652.33,RKI
grid.13689.35,DEFRA
grid.13719.3d,NMU
grid.13745.34,CSM
grid.13751.31,CTICM
grid.13756.36,SCI
grid.13796.3a,SSAB
grid.13822.3a,CEIT
grid.13825.3d,UNIR
grid.13829.31,MPIE
grid.13946.39,JKI
grid.13950.3e,NBO
grid.14001.34,ECP 
grid.14003.36,UW
grid.14004.31,WUT
grid.14005.30,CNU
grid.14076.34,BMT
grid.14095.39,FU
grid.14105.31,MRC
grid.14127.31,PT
grid.14170.33,DMI
grid.14263.32,ASTU
grid.14329.3d,KU
grid.14332.37,CEFAS
grid.14335.30,MBA
grid.14352.31,MKU
grid.14416.36,ISRA
grid.14440.35,YU
grid.14454.30,SRI
grid.14467.30,STFC
grid.14476.30,MSU
grid.14509.39,JČU
grid.14617.35,ASTC
grid.14647.30,INESC-ID
grid.14750.37,TETALAP
grid.14751.36,RPF
grid.14758.3f,THL
grid.14826.39,IMP
grid.14830.3e,JIC
grid.14841.38,IFW
grid.14868.33,LBS
grid.15011.34,IFL
grid.15040.30,CERFACS
grid.15043.33,UdL
grid.15058.39,IUA
grid.15058.39,CHIU
grid.15078.3b,IUB
grid.15140.31,ENSL
grid.15276.37,UF
grid.15312.34,INTA
grid.15363.32,INPT
grid.15399.37,INSA
grid.15401.31,ECL
grid.15447.33,SPbU
grid.15447.33,СПбГУ
grid.15449.3d,UPO
grid.15485.3d,HUCH
grid.15485.3d,HYKS
grid.15485.3d,HUCS
grid.15485.3d,HUS
grid.15538.3a,KUL
grid.15540.35,ANSES
grid.15596.3e,DCU
grid.15606.34,BGR
grid.15638.39,IGNS
grid.15649.3f,IFM-GEOMAR
grid.15667.33,IEO
grid.15683.39,ZSI
grid.15711.33,EUI
grid.15756.30,UWS
grid.15775.31,HSG
grid.15781.3a,UPS
grid.15788.33,WU
grid.15810.3d,CUT
grid.15819.34,UNESCO
grid.15819.34,ONUESC
grid.15866.3c,CULS
grid.15866.3c,ČZU
grid.15935.3b,STUK
grid.16058.3a,SUPSI
grid.16068.39,ECN
grid.16117.30,BRGM
grid.16149.3b,UKM
grid.16189.37,ITAINNOVA
grid.16299.35,AUEB
grid.16299.35,OPA
grid.16326.30,LNEC
grid.16388.34,BM
grid.16416.34,UR
grid.16463.36,UKZN 
grid.16477.33,MU
grid.16563.37,UNIPMN
grid.16610.30,CIUP
grid.16662.35,AQU
grid.16697.3f,EMÜ
grid.16719.38,ESF
grid.16753.36,NU
grid.16821.3c,SJTU
grid.16872.3a,VUMC
grid.16890.36,HKPU
grid.16982.34,HKR
grid.16989.3f,FEEM
grid.16990.37,IEEP
grid.17033.36,TC
grid.17088.36,MSU
grid.17091.3e,UBC
grid.17095.3a,CEAM
grid.17133.37,FNSP
grid.17165.34,WSFiZ 
grid.17236.31,BU
grid.17272.31,DFKI
grid.17303.36,UK-HERI
grid.17329.3e,DU
grid.17330.36,RSU
grid.17374.36,CIRA
grid.17380.3d,INECO
grid.17423.33,IAC
grid.17513.31,ENRESA
grid.17595.3f,NIAB
grid.17673.34,EHESS
grid.17678.3f,BSU
grid.17703.32,IARC
grid.17703.32,CIRC
grid.17758.3c,MAI
grid.17794.3c,NUK
grid.17866.3e,CPMC
grid.18038.32,LUISS
grid.18048.35,UoH
grid.18068.37,EAER
grid.18101.39,ISU
grid.18112.3b,BAU
grid.18192.33,KPI
grid.18192.33,NTU KhPI
grid.18228.31,Aimplas
grid.18377.3a,ESRI
grid.18665.3c,RACTI 
grid.18665.3c,CTI 
grid.18665.3c,ITYE
grid.18763.3b,MIPT (SU) 
grid.18827.34,CEN
grid.18883.3a,UiS
grid.18886.3f,ICR
grid.18888.31,TSL
grid.19003.3b,IITR
grid.19006.3e,UCLA
grid.19008.30,SAP
grid.19061.3f,ITENE
grid.19096.37,ICMR
grid.19100.39,NII
grid.19169.36,NILU
grid.19188.39,NTU
grid.19190.30,VDU
grid.19208.32,ULS
grid.19214.3f,TfL
grid.19241.3f,ARC
grid.19373.3f,HIT
grid.19477.3c,NMBU
grid.19603.3d,UK-ISRI
grid.19739.35,ZHAW
grid.19760.39,APRE
grid.19822.30,BCU
grid.20055.32,VTI
grid.20191.3b,CREATE-NET
grid.20192.38,PIN
grid.20256.33,JAEA
grid.20260.36,KCL
grid.20364.33,UAL
grid.20384.3d,INESC TEC
grid.20419.3e,ZSL
grid.20431.34,URI
grid.20440.32,RUPP
grid.20505.32,PHI
grid.20513.35,BNU
grid.20522.37,IMIM
grid.20542.31,NRG
grid.20561.30,SCAU
grid.20567.36,VSU
grid.20653.32,LEI
grid.20670.33,ISMB
grid.20709.3c,CSC
grid.20736.30,UFPR
grid.20757.37,IAI
grid.20765.36,CIRMMP
grid.20861.3d,CIT
grid.20898.3b,UNIS
grid.20931.39,RVC
grid.21051.37,HFU
grid.21051.37,FHF
grid.21072.36,YSU
grid.21107.35,JHU
grid.21113.30,SZE
grid.21155.32,BGI
grid.21200.31,DEÜ
grid.21354.31,BSMU
grid.21507.31,UJA
grid.21507.31,UJAEN
grid.21510.37,LTU
grid.21619.3d,CETIM
grid.21626.31,ITEP
grid.21678.3a,TBU
grid.21729.3f,CU
grid.21839.31,UEFISCSU
grid.21941.3f,NIMS
grid.22040.34,LNE
grid.22058.3d,ANR 
grid.22061.37,ICS
grid.22069.3f,ECNU
grid.22072.35,UoC
grid.22098.31,BIU
grid.22147.32,UT1
grid.22248.3e,UMFT
grid.22254.33,PUMS
grid.22294.3f,AGAUR
grid.22319.3b,PML
grid.22401.35,TIFR
grid.22459.38,NHRF
grid.22532.34,BZU
grid.22557.37,ZČU
grid.22589.34,UNIFE
grid.22609.3f,MARIN
grid.22631.34,SOAS
grid.22642.30,Luke
grid.22793.3d,EPC
grid.22793.3d,CEPS
grid.22903.3a,AUB
grid.22919.31,FCT
grid.22935.3f,CAU
grid.22954.38,CRA-W
grid.23082.3b,UTBM
grid.23218.3a,TERENA
grid.23231.31,LMU
grid.23378.3d,UHI
grid.23391.3a,IFRF
grid.23391.3a,ONLUS
grid.23471.33,NUU
grid.23520.36,UBU
grid.23618.3e,DFO
grid.23731.34,GFZ
grid.24029.3d,CUH
grid.24046.34,AECL
grid.24046.34,EACL
grid.24194.3a,GMI
grid.24349.38,WIT
grid.24377.35,UMB
grid.24433.32,NRC
grid.24433.32,CNRC
grid.24434.35,UNL 
grid.24434.35,NU
grid.24515.37,HKUST
grid.24526.37,MIIT
grid.24539.39,RUC
grid.24695.3c,BUCM
grid.24696.3f,CUMS
grid.24696.3f,CCMU 
grid.24696.3f,CMU
grid.24704.35,AOUC
grid.24753.37,CATIE
grid.24805.3b,NMSU
grid.24827.3b,UC
grid.24999.3f,HZG
grid.25055.37,MUN
grid.25111.36,FWF
grid.25111.36,FFWF 
grid.25488.33,CTU
grid.25588.32,UwB
grid.25627.34,MMU
grid.25690.38,HP
grid.25867.3e,MUHAS
grid.25881.36,NWU
grid.25996.31,CNISM
grid.26055.34,INESCOP
grid.26140.31,REC
grid.26141.30,UPE
grid.26193.3f,TSU
grid.26194.38,SEUA
grid.26618.3b,CORIS
grid.26693.38,UAb
grid.26790.3a,UM
grid.26790.3a,U Miami
grid.26811.3c,UMH
grid.26877.3c,NAGREF
grid.26999.3d,UT
grid.27029.3e,MBB
grid.27235.31,DHHS
grid.27235.31,HHS
grid.27255.37,SDU
grid.27324.30,AAAS
grid.27372.33,NUMECA
grid.27446.33,NENU
grid.27463.34,UNISG
grid.27593.3a,DSHS
grid.27667.32,EUA
grid.27729.39,UTT
grid.27736.37,TPU
grid.27755.32,UVA
grid.27860.3b,UCD
grid.27871.3b,NAU
grid.27883.36,IPVC
grid.28056.39,ECUST
grid.28121.38,HSVA
grid.28171.3d,UNN
grid.28312.3a,NICT
grid.28326.3d,CNIT
grid.28367.38,IRT
grid.28371.3f,BBC
grid.28390.30,DT
grid.28409.37,CTTC
grid.28455.3e,KHU
grid.28479.30,URJC
grid.28541.3a,FZI
grid.28598.3e,CINI 
grid.28894.3f,IMM
grid.28911.33,HUC
grid.29050.3e,MIUN
grid.29078.34,USI
grid.29109.33,BM
grid.29160.3c,IVW
grid.29172.3f,UL
grid.29251.3d,PSUT
grid.29254.38,UAV
grid.29273.3d,UB
grid.29328.32,UMCS
grid.29524.38,UMC
grid.29773.38,IMT
